Match,Round,GameDate,Location,HomeTeam,AwayTeam,Result
259,26,21/02/2022 01:00,Stadio Friuli,Udinese,Lazio,
260,26,21/02/2022 01:00,Pier Luigi Penzo,Venezia,Genoa,
261,27,28/02/2022 01:00,Gewiss Stadium,Atalanta,Sampdoria,
262,27,28/02/2022 01:00,Carlo Castellani,Empoli,Juventus,
263,27,28/02/2022 01:00,Luigi Ferraris,Genoa,Inter,
264,27,28/02/2022 01:00,Marcantonio Bentegodi,Hellas Verona,Venezia,
265,27,28/02/2022 01:00,Olimpico,Lazio,Napoli,
266,27,28/02/2022 01:00,Giuseppe Meazza,Milan,Udinese,
267,27,28/02/2022 01:00,Arechi,Salernitana,Bologna,
268,27,28/02/2022 01:00,Mapei Stadium,Sassuolo,Fiorentina,
269,27,28/02/2022 01:00,Alberto Picco,Spezia,Roma,
270,27,28/02/2022 01:00,Olimpico Grande Torino,Torino,Cagliari,
271,28,07/03/2022 01:00,Renato Dall'Ara,Bologna,Torino,
272,28,07/03/2022 01:00,Sardegna Arena,Cagliari,Lazio,
273,28,07/03/2022 01:00,Artemio Franchi,Fiorentina,Hellas Verona,
274,28,07/03/2022 01:00,Luigi Ferraris,Genoa,Empoli,
275,28,07/03/2022 01:00,Giuseppe Meazza,Inter,Salernitana,
276,28,07/03/2022 01:00,Allianz Stadium,Juventus,Spezia,
277,28,07/03/2022 01:00,Diego Armando Maradona,Napoli,Milan,
278,28,07/03/2022 01:00,Olimpico,Roma,Atalanta,
279,28,07/03/2022 01:00,Stadio Friuli,Udinese,Sampdoria,
280,28,07/03/2022 01:00,Pier Luigi Penzo,Venezia,Sassuolo,
281,29,14/03/2022 01:00,Gewiss Stadium,Atalanta,Genoa,
282,29,14/03/2022 01:00,Artemio Franchi,Fiorentina,Bologna,
283,29,14/03/2022 01:00,Marcantonio Bentegodi,Hellas Verona,Napoli,
284,29,14/03/2022 01:00,Olimpico,Lazio,Venezia,
285,29,14/03/2022 01:00,Giuseppe Meazza,Milan,Empoli,
286,29,14/03/2022 01:00,Arechi,Salernitana,Sassuolo,
287,29,14/03/2022 01:00,Luigi Ferraris,Sampdoria,Juventus,
